"Date ""Plot"" ""NEE"" ""ER"" ""ET"" ""Tav"" ""Par"" ""block"" ""PT"""
"1 2020-07-15 ""H1P02"" 1.74627225942948 2.52901573382973 2.57364707803673 39.2915555555556 878.733333333333 ""H1"" ""S2"""
"2 2020-07-15 ""H1P07"" 2.29183934733301 3.13636848901992 2.45095384001583 39.7846666666667 840.488888888889 ""H1"" ""S1"""
"3 2020-07-15 ""H1P10"" 2.12813135317565 2.70569706432958 2.68932043413112 40.4271739130435 834.065217391304 ""H1"" ""S3"""
"4 2020-07-15 ""H1P12"" 1.91433117900839 3.09514994433874 3.08141877910314 41.776 898.155555555556 ""H1"" ""S4"""
"5 2020-07-15 ""H2P02"" 2.45235766282705 2.69588778762758 2.62789143761436 41.9993333333333 958.222222222222 ""H2"" ""S2"""
"6 2020-07-15 ""H2P03"" 2.7245741427467 4.09044637897615 3.01830953650074 43.2946666666667 1082.06666666667 ""H2"" ""S3"""
"7 2020-07-15 ""H2P05"" 2.81952715435065 4.19655020125076 2.72281088199522 43.5068888888889 1188.02222222222 ""H2"" ""S1"""
"8 2020-07-15 ""H2P12"" 2.04974628737213 1.70660892491795 3.21519844086189 44.0702173913043 1237.04347826087 ""H2"" ""S4"""
"9 2020-07-15 ""H3P06"" 1.21854804830614 1.84108767700759 2.18367516906331 42.8155555555556 828.066666666667 ""H3"" ""S4"""
"10 2020-07-15 ""H3P09"" 1.30687109909606 2.15035769817555 2.98178873491923 44.9308888888889 1315 ""H3"" ""S2"""
"11 2020-07-15 ""H3P10"" 0.95708527325643 2.77026653777109 2.89662817802755 43.7302222222222 1227.55555555556 ""H3"" ""S3"""
"12 2020-07-15 ""H3P12"" 1.37115006164656 2.7385110792185 2.87846237884362 43.1011111111111 1393.53333333333 ""H3"" ""S1"""
"13 2020-07-15 ""H4P02"" 3.14131065623821 2.97181405761681 2.33742104035792 37.7055555555556 236.355555555556 ""H4"" ""S3"""
"14 2020-07-15 ""H4P03"" 3.13598396352451 3.05256529495831 1.97693087439055 37.2488888888889 223.022222222222 ""H4"" ""S1"""
"15 2020-07-15 ""H4P07"" 2.66367309457091 2.78196336624032 1.59813466158637 36.2546666666667 262.733333333333 ""H4"" ""S4"""
"16 2020-07-15 ""H4P08"" 2.30676907530188 3.12272150132005 1.74076097143526 36.446 274.266666666667 ""H4"" ""S2"""
