time,flux,moisture,temp,house,treatment,
2020/7/2 14:00,NaN,0.0185,47.1225,H1,S1,2020/7/2/ 21:00
2020/7/2 15:00,0.72,0.01825,45.7625,H1,S1,
2020/7/2 16:00,NaN,0.01725,30.75,H1,S1,
2020/7/2 17:00,NaN,0.0175,23.7175,H1,S1,
2020/7/2 18:00,NaN,0.0175,24.7375,H1,S1,
2020/7/2 19:00,NaN,0.01725,23.6875,H1,S1,
2020/7/2 20:00,NaN,0.017,22.6925,H1,S1,
2020/7/2 21:00,NaN,0.0165,22.2625,H1,S1,
2020/7/2 22:00,NaN,0.0165,21.6275,H1,S1,
2020/7/2 23:00,NaN,0.01625,21.32,H1,S1,
2020/7/3 0:00,NaN,0.016,21.0675,H1,S1,
2020/7/3 1:00,NaN,0.016,21.0525,H1,S1,
2020/7/3 2:00,NaN,0.01575,20.8375,H1,S1,
2020/7/3 3:00,NaN,0.0155,20.505,H1,S1,
2020/7/3 4:00,NaN,0.0155,20.28,H1,S1,
2020/7/3 5:00,NaN,0.0155,19.9625,H1,S1,
2020/7/3 6:00,NaN,0.0155,21.0625,H1,S1,
2020/7/3 7:00,NaN,0.01675,27.265,H1,S1,
2020/7/3 8:00,NaN,0.01725,31.76,H1,S1,
2020/7/3 9:00,NaN,0.01775,36.1025,H1,S1,
2020/7/3 10:00,0.61,0.01875,40.7325,H1,S1,
2020/7/3 11:00,0.69,0.0195,44.37,H1,S1,
2020/7/3 12:00,0.56,0.02,47.355,H1,S1,
2020/7/3 13:00,0.68,0.02,49.36,H1,S1,
2020/7/3 14:00,0.65,0.0205,51.2725,H1,S1,
2020/7/3 15:00,0.8,0.02,50.4875,H1,S1,
2020/7/3 16:00,0.64,0.0195,49.14,H1,S1,
2020/7/3 17:00,0.69,0.019,46.285,H1,S1,
2020/7/3 18:00,0.77,0.01825,42.15,H1,S1,
2020/7/3 19:00,0.73,0.01725,36.6025,H1,S1,
2020/7/3 20:00,NaN,0.0165,33.06,H1,S1,
2020/7/3 21:00,NaN,0.01575,30.22,H1,S1,
2020/7/3 22:00,NaN,0.0155,28.5175,H1,S1,
2020/7/3 23:00,NaN,0.0155,27.425,H1,S1,
2020/7/4 0:00,NaN,0.0155,26.5975,H1,S1,
2020/7/4 1:00,NaN,0.0155,26.005,H1,S1,
2020/7/4 2:00,NaN,0.0155,25.345,H1,S1,
2020/7/4 3:00,NaN,0.015,24.625,H1,S1,
2020/7/4 4:00,NaN,0.01475,24.075,H1,S1,
2020/7/4 5:00,NaN,0.0145,23.6275,H1,S1,
2020/7/4 6:00,NaN,0.01475,24.5925,H1,S1,
2020/7/4 7:00,NaN,0.016,30.9425,H1,S1,
2020/7/4 8:00,NaN,0.017,35.81,H1,S1,
2020/7/4 9:00,NaN,0.01775,39.8475,H1,S1,
2020/7/4 10:00,0.6,0.01825,44.32,H1,S1,
2020/7/4 11:00,0.57,0.01925,47.9375,H1,S1,
2020/7/4 12:00,0.6,0.01975,50.8325,H1,S1,
2020/7/4 13:00,0.63,0.02,52.4,H1,S1,
2020/7/4 14:00,0.63,0.02,53.525,H1,S1,
2020/7/4 15:00,0.57,0.02,53.115,H1,S1,
2020/7/4 16:00,0.58,0.0195,51.1275,H1,S1,
2020/7/4 17:00,0.64,0.01875,47.9625,H1,S1,
2020/7/4 18:00,0.61,0.01775,43.15,H1,S1,
2020/7/4 19:00,NaN,0.01675,36.2725,H1,S1,
2020/7/4 20:00,NaN,0.01625,33.5275,H1,S1,
2020/7/4 21:00,NaN,0.0155,31.2875,H1,S1,
2020/7/4 22:00,NaN,0.0155,29.89,H1,S1,
2020/7/4 23:00,NaN,0.0155,28.605,H1,S1,
2020/7/5 0:00,NaN,0.0155,27.95,H1,S1,
2020/7/5 1:00,NaN,0.01475,26.8775,H1,S1,
2020/7/5 2:00,NaN,0.0145,26.04,H1,S1,
2020/7/5 3:00,NaN,0.0145,25.2925,H1,S1,
2020/7/5 4:00,NaN,0.0145,24.6925,H1,S1,
2020/7/5 5:00,NaN,0.0145,24.075,H1,S1,
2020/7/5 6:00,NaN,0.01475,24.7525,H1,S1,
2020/7/5 7:00,NaN,0.0155,30.9825,H1,S1,
2020/7/5 8:00,NaN,0.01675,36.0225,H1,S1,
2020/7/5 9:00,NaN,0.01725,40.1975,H1,S1,
2020/7/5 10:00,0.54,0.018,44.77,H1,S1,
2020/7/5 11:00,0.51,0.019,49.0675,H1,S1,
2020/7/5 12:00,0.57,0.01925,51.6075,H1,S1,
2020/7/5 13:00,0.52,0.01975,52.815,H1,S1,
2020/7/5 14:00,0.54,0.01975,54.005,H1,S1,
