site_code,pft_f1,pft_c1,pft_f2,pft_c2,pft_f3,pft_c3,pft_f4,pft_c4,pft_f5,pft_c5
US-Blo,100,1,0,0,0,0,0,0,0,0
US-CHATS,100,7,0,0,0,0,0,0,0,0
US-FPe,100,12,0,0,0,0,0,0,0,0
US-NR1,100,1,0,0,0,0,0,0,0,0
CA-Let,100,12,0,0,0,0,0,0,0,0
CA-Man,100,2,0,0,0,0,0,0,0,0
BR-Sa1,100,4,0,0,0,0,0,0,0,0
BR-Sa3,100,4,0,0,0,0,0,0,0,0
ES-ES1,100,1,0,0,0,0,0,0,0,0
FL-Hyy,100,2,0,0,0,0,0,0,0,0
FL-Kaa,100,14,0,0,0,0,0,0,0,0
IT-Col,100,7,0,0,0,0,0,0,0,0
IT-Cpz,100,5,0,0,0,0,0,0,0,0
DE-Tha,100,1,0,0,0,0,0,0,0,0
US-Brw,100,12,0,0,0,0,0,0,0,0
BE-Vie,100,7,0,0,0,0,0,0,0,0
US-ARM,100,15,0,0,0,0,0,0,0,0
US-Var,100,13,0,0,0,0,0,0,0,0
US-UMB,100,7,0,0,0,0,0,0,0,0
US-Ha1,100,7,0,0,0,0,0,0,0,0
US-Ho1,100,1,0,0,0,0,0,0,0,0
US-MMS,100,7,0,0,0,0,0,0,0,0
US-Bo1,100,15,0,0,0,0,0,0,0,0
CA-Ca1,100,2,0,0,0,0,0,0,0,0
CA-Oas,100,8,0,0,0,0,0,0,0,0
CA-Obs,100,2,0,0,0,0,0,0,0,0
CA-Ojp,100,2,0,0,0,0,0,0,0,0
CA-Qfo,100,2,0,0,0,0,0,0,0,0
US-Me4,100,1,0,0,0,0,0,0,0,0
US-Me2,100,1,0,0,0,0,0,0,0,0
US-MOz,100,7,0,0,0,0,0,0,0,0
US-WCr,100,7,0,0,0,0,0,0,0,0
US-Dk3,100,1,0,0,0,0,0,0,0,0
US-Dk2,100,7,0,0,0,0,0,0,0,0
US-IB1,100,15,0,0,0,0,0,0,0,0
US-Ne1,100,18,0,0,0,0,0,0,0,0
US-Ne3,100,15,0,0,0,0,0,0,0,0
TS-Ts1,100,1,0,0,0,0,0,0,0,0
TS-Ts2,100,1,0,0,0,0,0,0,0,0
TS-Ts3,100,1,0,0,0,0,0,0,0,0
LTER-Sev,100,1,0,0,0,0,0,0,0,0
RF-Bra,-999,-999,0,0,0,0,0,0,0,0
LBA-Cax,100,4,0,0,0,0,0,0,0,0
CornMus,100,17,0,0,0,0,0,0,0,0
FtColl,100,18,0,0,0,0,0,0,0,0
ISU,100,17,0,0,0,0,0,0,0,0
AUR-NY,100,17,0,0,0,0,0,0,0,0
Kent,100,17,0,0,0,0,0,0,0,0
AMES-IA,100,17,0,0,0,0,0,0,0,0
KIMB-ID,100,18,0,0,0,0,0,0,0,0
BG-KY,100,17,0,0,0,0,0,0,0,0
SP-MN,100,17,0,0,0,0,0,0,0,0
PROS-WA,100,18,0,0,0,0,0,0,0,0
ISU17,100,17,0,0,0,0,0,0,0,0
BOYD,100,17,0,0,0,0,0,0,0,0
Idaho,100,18,0,0,0,0,0,0,0,0
ISU11,100,17,0,0,0,0,0,0,0,0
FAY-ARK,100,18,0,0,0,0,0,0,0,0
Flo-SC,100,17,0,0,0,0,0,0,0,0
Tift-GA,100,18,0,0,0,0,0,0,0,0
Bent-WA,100,18,0,0,0,0,0,0,0,0
HA,100,17,0,0,0,0,0,0,0,0
Kent2,100,17,0,0,0,0,0,0,0,0
KIMB-ID2,100,18,0,0,0,0,0,0,0,0
TU-JAP,100,18,0,0,0,0,0,0,0,0
SHU-CITY,100,18,0,0,0,0,0,0,0,0
LINZ-VIL,100,17,0,0,0,0,0,0,0,0
XIAN,100,17,0,0,0,0,0,0,0,0
EGYP,100,17,0,0,0,0,0,0,0,0
HEA-ID,100,18,0,0,0,0,0,0,0,0
TaianCity,100,17,0,0,0,0,0,0,0,0
JEL-1,100,75,0,0,0,0,0,0,0,0
JEL-2,100,75,0,0,0,0,0,0,0,0
ABN-WA,100,17,0,0,0,0,0,0,0,0
NAT-NEP,100,17,0,0,0,0,0,0,0,0
THAI,100,17,0,0,0,0,0,0,0,0
RIV-IT,100,17,0,0,0,0,0,0,0,0
BEA-IT,100,17,0,0,0,0,0,0,0,0
TOLGA,100,17,0,0,0,0,0,0,0,0
QUE-CA,100,17,0,0,0,0,0,0,0,0
QUE-CA2,100,17,0,0,0,0,0,0,0,0
