site_code,name,state,lon,lat,elev,startyear,endyear,alignyear,timestep,campaign
US-Blo,"Blodgett Forest",CA,-120.6327,38.8952,1315,1997,2007,1997,30,AmeriFlux
US-CHATS,"Cilker Chandler walnut orchard",CA,-121.85,38.49,21,2007,2007,2007,30,CHATS
US-FPe,"Fort Peck",MT,-105.1019,48.3077,634,2000,2007,2001,30,AmeriFlux
CA-Let,"Lethbridge",CAN,-112.9402,49.7093,960,1998,2007,1998,30,Fluxnet-Canada
US-NR1,"Niwot Ridge",CO,-105.5464,40.0329,3050,1998,2007,1998,30,AmeriFlux
CA-Man,"BOREAS NSA - Old Black Spruce",CAN,-98.4808,55.8796,259,1994,2003,1994,30,Fluxnet-Canada
BR-Sa1,"SantaremKM67",BRAZIL,-54.9589,-2.85667,130,2002,2004,1,60,LBA
BR-Sa3,"SantaremKM83",BRAZIL,-54.9714,-3.01803,130,2001,2003,1,60,LBA
ES-ES1,"ElSaler",SPAIN,-0.31881,39.346,10,1999,2005,1999,30,CarboEurope
FL-Hyy,"Hyytiala",FINLAND,24.2948,61.8474,181,1997,2005,1997,30,CarboEurope
FL-Kaa,"Kaamanen",FINLAND,27.295,69.1407,155,2000,2005,2001,30,CarboEurope
IT-Col,"Collelongo",ITALY,13.5881,41.8494,1550,1996,2001,1997,30,CarboEurope
IT-Cpz,"CastelPorziano",ITALY,12.3761,41.7052,68,2001,2005,2001,30,CarboEurope
DE-Tha,"Tharandt",GERMANY,13.5669,50.9636,380,1998,2003,1998,30,CarboEurope
US-Brw,Barrow,AK,-156.6259,71.3225,1,1998,2006,1998,30,AmeriFlux
BE-Vie,"Vielsalm",BELGIUM,5.99683,50.3055,450,1997,2005,1997,30,CarboEurope
US-ARM,"ARM SGP Main",OK,-97.4888,36.6058,310,2000,2007,2001,30,AmeriFlux
US-Var,"Vaira Ranch",CA,-120.9507,38.4067,129,2000,2007,2001,30,AmeriFlux
US-UMB,UMBS,MI,-84.7138,45.5598,234,1999,2006,1999,60,AmeriFlux
US-Ha1,"Harvard Forest",MA,-72.1715,42.5378,303,1991,2006,1991,60,AmeriFlux
US-Ho1,"Howland Forest Main",ME,-68.7402,45.2041,60,1996,2004,1997,30,AmeriFlux
US-MMS,"Morgon Monroe State Forest",IN,-86.4131,39.3232,275,1999,2007,1999,60,AmeriFlux
US-Bo1,Bondville,IL,-88.2919,40.0061,300,1996,2008,1997,30,AmeriFlux
CA-Ca1,"British Columbia- Campbell River - Mature Forest Site",CAN,-125.3336,49.8673,300,1998,2006,1998,30,Fluxnet-Canada
CA-Oas,"Sask.- SSA Old Aspen",CAN,-106.19779,53.6289,530,1997,2006,1997,30,Fluxnet-Canada
CA-Obs,"Sask.- SSA Old Black Spruce",CAN,-105.1178,53.9872,629,2000,2006,2001,30,Fluxnet-Canada
CA-Ojp,"Sask.- SSA Old Jack Pine",CAN,-104.6920,53.9163,579,2000,2006,2001,30,Fluxnet-Canada
CA-Qfo,"Quebec Mature Boreal Forest Site",CAN,-74.3421,49.6925,382,2004,2006,2004,30,Fluxnet-Canada
US-Dk2,"Duke Forest Hardwoods",NC,-79.1004,35.9736,160,2003,2005,2003,30,AmeriFlux
US-Dk3,"Duke Forest Loblolly Pine",NC,-79.0942,35.9782,163,1998,2005,1998,30,AmeriFlux
US-IB1,"Fermi Agricultural",IL,-88.2227,41.8593,227,2005,2007,2005,30,AmeriFlux
US-Me4,"Metolius Old Pine",OR,-121.6224,44.4992,915,1996,2000,1996,30,AmeriFlux
US-Me2,"Metolius Intermediate Pine",OR,-121.5574,44.4523,1253,2002,2010,2002,30,AmeriFlux
US-MOz,"Missouri Ozark Site",MO,-92.2,38.7441,219,2004,2007,2005,30,AmeriFlux
US-Ne1,"Mead Irrigated Corn",NE,-96.4766,41.1651,361,2001,2013,2001,60,AmeriFlux
US-Ne3,"Mead Rainfed",NE,-96.4396,41.1797,361,2001,2006,2001,60,AmeriFlux
US-WCr,"Willow Creek",WI,-90.0799,45.8059,520,1998,2006,1998,30,AmeriFlux
TS-Ts1,"Test short yrs",TEST,-105.5464,40.0329,3050,1998,2001,1998,30,PTCLMTestSite
TS-Ts2,"Test short yrs start on leap-year",TEST,-105.5464,40.0329,3050,2004,2007,2005,30,PTCLMTestSite
TS-Ts3,"Test long yrs",TEST,-105.5464,40.0329,3050,2004,2008,2005,30,PTCLMTestSite
LTER-Sev,"Sevilleta Long Term Ecological Research (LTER) project (Meteorology from LTER Cerro Montoso #42)",NM,-106.529444,34.386389,1911,1996,1999,1996,30,LTER
RF-Bra,"Brasillia arbitrary site, no met-data",BR,-50.0,-15.0,-999,-999,-999,-999,60,RFisher
LBA-Cax,"Caxiauna Rainforest 'throughfall exclusion’ (TFE) experiment",BR,-51.46,1.717639,-999,1996,1999,1996,30,LBA
RainManSR,Rainman Site,AZ,-110.897744,31.795469,1074,2005,2020,2005,30,USDAUASite
ISU,Iowa State University Arsmtrong Research Farm,IA,-93.0977,41.308239,396,2011,2015,2011,30,USDAISUSite
AUR-NY,Cornell Musgrave Farm,NY,-76.654453,42.730178,280,2007,2011,2007,30,USDANYsite
FtColl,Fort Collins,CO,-105.14,40.59,1560,2013,2015,2013,30,USDACOsite
Kent,Bowling Green Kentucky,KY,-86.48,36.93,166.7,2010,2013,2010,30,AmeriFlux
