site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
US-Blo,-999,1,-999,60.0,11.0
US-CHATS,-999,1,-999,10.0,35.0
US-FPe,-999,1,-999,47.0,21.0
CA-Let,-999,1,-999,28.0,36.0
US-NR1,-999,1,-999,43.13,21.43
CA-Man,-999,1,-999,33.0,33.0
BR-Sa1,-999,1,-999,19.0,65.0
BR-Sa3,-999,1,-999,52.0,40.0
ES-ES1,-999,1,-999,82.0,5.0
FL-Hyy,-999,1,-999,82.0,5.0
FL-Kaa,-999,1,-999,42.0,18.0
IT-Col,-999,1,-999,22.0,13.0
IT-Cpz,-999,1,-999,82.0,5.0
DE-Tha,-999,1,-999,42.0,18.0
US-Brw,-999,1,-999,50.0,25.0
BE-Vie,-999,1,-999,42.0,18.0
US-ARM,-999,1,-999,28.0,43.1
US-Var,-999,1,-999,30.0,13.0
US-UMB,-999,1,-999,92.6,0.6
US-Ha1,-999,1,-999,66.0,6.0
US-Ho1,0.8,1,-999,50.3,15.9
US-MMS,-999,1,-999,34.0,63.0
US-Bo1,-999,1,-999,5.0,25.0
CA-Ca1,-999,1,-999,84.42,2.63
CA-Oas,-999,1,-999,50.32,18.8
CA-Obs,-999,1,-999,80.89,4.12
CA-Ojp,-999,1,-999,94.47,2.5
CA-Qfo,-999,1,-999,51.5,4.0
US-Dk2,-999,1,-999,54.43,21.62
US-Dk3,-999,1,-999,51.59,13.66
US-IB1,-999,1,-999,7.8,37.2
US-Me4,-999,1,-999,66.0,10.0
US-Me2,-999,1,-999,67.0,7.0
US-MOz,-999,1,-999,46.38,24.68
US-Ne1,-999,1,-999,30.7,31.68
US-Ne3,-999,1,-999,30.7,31.68
US-WCr,-999,1,-999,42.52,20.17
TS-Ts1,-999,1,-999,43.13,21.43
TS-Ts2,-999,1,-999,43.13,21.43
TS-Ts3,-999,1,-999,43.13,21.43
LTER-Sev,-999,1,-999,52.,5.
RF-Bra,-999,1,-999,-999,-999
LBA-Cax,-999,1,-999,75.00,20.00
CornMus,-999,1,-999,61.5,18.2
FtColl,-999,1,-999,51.0,29.0
ISU,-999,1,-999,15.0,5.0
AUR-NY,-999,1,-999,60.0,18.0
Kent,-999,1,-999,3.1,31.6
AMES-IA,-999,1,-999,25,27
KIMB-ID,-999,1,-999,18,25
BG-KY,-999,1,-999,2,21
SP-MN,-999,1,-999,25,22
PROS-WA,-999,1,-999,49,8
ISU17,-999,1,-999,15,5
BOYD,-999,1,-999,48,10
Idaho,-999,1,-999,24,20
ISU11,-999,1,-999,15,5
FAY-ARK,-999,1,-999,30,10
Flo-SC,-999,1,-999,84.3,6
Tift-GA,-999,1,-999,86,7.5
Bent-WA,-999,1,-999,20.8,11.5
HA,-999,1,-999,7.9,56.5
Kent2,-999,1,-999,3.1,31.6
KIMB-ID2,-999,1,-999,13.7,17
TU-JAP,-999,1,-999,95,3.7
SHU-CITY,-999,1,-999,64,19
LINZ-VIL,-999,1,-999,63,13
XIAN,-999,1,-999,33,31
EGYP,-999,1,-999,32.13,45.72
HEA-ID,-999,1,-999,46,13
TaianCity,-999,1,-999,34,25
JEL-1,-999,1,-999,42,47
JEL-2,-999,1,-999,42,47
ABN-WA,-999,1,-999,58,16
NAT-NEP,-999,1,-999,33,17
THAI,-999,1,-999,79.9,2.5
RIV-IT,-999,1,-999,31,31
BEA-IT,-999,1,-999,27,15
TOLGA,-999,1,-999,11.3,53.9
QUE-CA,-999,1,-999,81.5,9.6
QUE-CA2,-999,1,-999,47.6,29.3
BJ,-999,1,-999,28,20
CQ,-999,1,-999,30,23
CW,-999,1,-999,33,24
SY,-999,1,-999,16.7,24.9
SQ,-999,1,-999,63,13
TaianCity2,-999,1,-999,57.8,13.6
ISA-PRO,-999,1,-999,20.4,63.3
NT,-999,1,-999,39,23
SQ2,-999,1,-999,63,13
HN,-999,1,-999,43,25
PESH,-999,1,-999,14,41
HB,-999,1,-999,52,15
SY2,-999,1,-999,38,40
HT,-999,1,-999,34,25
HN2,-999,1,-999,43,25
JL2,-999,1,-999,56,16
XIN,-999,1,-999,78,15
AKURE,-999,1,-999,68.8,25.1
HT2,-999,1,-999,73.5,14
KAPS,-999,1,-999,10.7,71.6
UNI-PAD,-999,1,-999,40.6,41.4
SY3,-999,1,-999,38,40
UNI-PAD2,-999,1,-999,57.1,19.2
FENG,-999,1,-999,68,15.8
FENG2,-999,1,-999,68,15.8
ZUR,-999,1,-999,37,36
HUN,-999,1,-999,16.7,24.9
HUAN-HEY,-999,1,-999,73.5,14
MAL-SLOV,-999,1,-999,15.2,24.9
PAS-CA,-999,1,-999,82,6.4
CW2,-999,1,-999,4,37
site1,-999,1,-999,99,.5
site2,-999,1,-999,10,35
site3,-999,1,-999,66.8,11.1
site4,-999,1,-999,28.1,17.2
site5,-999,1,-999,64.2,13.3
site6,-999,1,-999,37.6,25.2
site7,-999,1,-999,55,15
site8,-999,1,-999,52,15
site9,-999,1,-999,94,1.5
site10,-999,1,-999,41,30
site11,-999,1,-999,56,21.4
site13,-999,1,-999,37.3,47.1
site14,-999,1,-999,45.6,49.7
site15,-999,1,-999,38.7,18.9
site16,-999,1,-999,73,11.9
site17,-999,1,-999,63.9,9.9
site18,-999,1,-999,70,.9
site19,-999,1,-999,20,20
site20,-999,1,-999,24.5,22.9
site21,-999,1,-999,30.2,15
site22,-999,1,-999,60,20
site23,-999,1,-999,36,9
site24,-999,1,-999,60,20
site25,-999,1,-999,66,16
site26,-999,1,-999,40,20
site28,-999,1,-999,20,31
site29,-999,1,-999,26.3,21
site30,-999,1,-999,67,13
site31,-999,1,-999,67,13
site32,-999,1,-999,58.5,35
site33,-999,1,-999,61.3,7.2
site34,-999,1,-999,9.1,24.8
site35,-999,1,-999,71,12
site36,-999,1,-999,65,16
site37,-999,1,-999,65,16
site38,-999,1,-999,46,23
site39,-999,1,-999,50,20
GUAN,-999,1,-999,7.7,34.9
SRER,-999,1,-999,73.7,3.8
WOOD,-999,1,-999,55.3,19.7
YELL,-999,1,-999,35.9,23
ONAQ,-999,1,-999,56.8,9.2
TEAK,-999,1,-999,79.7,2.7
KNOZ,-999,1,-999,5.3,32.8
HARV,-999,1,-999,53.3,15.7
STER,-999,1,-999,46.7,19
OAES,-999,1,-999,12.9,16.1
JORN,-999,1,-999,86.7,7.1
BLAN,-999,1,-999,21.2,0
SCBI,-999,1,-999,16.4,32.1
SERC,-999,1,-999,61.7,11.5
DSNY,-999,1,-999,94,.7
JERC,-999,1,-999,86.2,1.8
OSBS,-999,1,-999,97,1
TREE,-999,1,-999,50.2,9.2
UNDE,-999,1,-999,62.3,5.7
KONA,-999,1,-999,5.3,32.8
UKFS,-999,1,-999,8.2,30.9
MLBS,-999,1,-999,63.3,6.8
ORNL,-999,1,-999,78.8,6.6
DCFS,-999,1,-999,29.3,32.3
NOGP,-999,1,-999,17.2,26
LENO,-999,1,-999,46.4,20.8
TALL,-999,1,-999,90.7,3
ABBY,-999,1,-999,27.2,36.4
SOAP,-999,1,-999,56.5,13.4
CLBJ,-999,1,-999,55.5,10.1
